mssv,ho_ten,ma_nganh,ngay_sinh
25164,Hoàng Huỳnh Đức Toàn,ATTT,7/4/2007
25165,Trần Trang,KTDL,26/10/2007
25166,Hoàng Phương Trang,AI,25/8/2007
25167,Nguyễn Ngọc Trà,CNTT,12/6/2007
25168,Phạm Phan Tú Trà,ATTT,5/4/2007
25169,Vũ Nguyễn Tuệ Trâm,KTDL,10/10/2007
25170,Hoàng Võ Thanh Trâm,AI,15/8/2007
25171,Lê Võ Đức Trí,CNTT,27/6/2007
25172,Phạm Trí,ATTT,27/8/2007
25173,Trần Trung,KTDL,15/10/2007
25174,Phạm Trung,AI,31/8/2007
25175,Vũ Thùy Trúc,CNTT,18/6/2007
25176,Bùi Trúc,ATTT,4/12/2007
25177,Bùi Đông Tú,KTDL,2/2/2007
25178,Hoàng Phương Tú,AI,9/4/2007
25179,Nguyễn Hoàng Văn Tuấn,CNTT,18/10/2007
25180,Võ Đức Tuấn,ATTT,21/8/2007
25181,Vũ Chí Tùng,KTDL,22/2/2007
25182,Nguyễn Đông Tùng,AI,2/8/2007
25183,Lê Bùi Ngọc Tuyết,CNTT,24/10/2007
25184,Vũ Phương Tuyết,ATTT,22/4/2007
25185,Võ Uyên,KTDL,1/2/2007
25186,Nguyễn Lê Minh Uyên,AI,19/5/2007
25187,Võ Vân,CNTT,21/7/2007
25188,Võ Vũ Cát Vân,ATTT,18/1/2007
25189,Nguyễn Việt,KTDL,31/7/2007
25190,Nguyễn Quang Việt,AI,22/5/2007
25191,Trần Vinh,CNTT,4/11/2007
25192,Lê Vinh,ATTT,7/1/2007
25193,Lê Phan Đức Vũ,KTDL,28/11/2007
25194,Phạm Bùi Thành Vũ,AI,19/9/2007
25195,Hoàng Thị Vy,CNTT,8/3/2007
25196,Võ Vy,ATTT,26/9/2007
25197,Huỳnh Phạm Thị Xuân,KTDL,10/11/2007
25198,Huỳnh Khánh Xuân,AI,28/9/2007
25199,Vũ Huỳnh Ngọc Yến,CNTT,22/3/2007
25200,Vũ Minh Yến,ATTT,22/5/2007
